xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.000244,0.000244,0.000244,0.00312459,-0.06665792,0.06353333
0.000244,0.000244,0.000244,-0.24643752,-0.00355026,0.19261718
0.000244,0.000244,0.000244,-0.64331792,0.09566984,-0.03417162
0.000244,0.000244,0.000244,-0.52994312,0.09850421,0.0962094
-0.04636,0.0147376,0.400648,-0.57242822,-0.07143619,0.27181448
-0.0737856,0.021370496,0.6429888,-0.49291102,-0.23331049,0.35985138
-0.07384416,0.02699616,0.79346848,-0.62602771,-0.31261405,0.36834819
-0.094960896,0.028828698,0.877802688,-0.66563147,-0.47668677,0.34005979
-0.107923738,0.034962819,0.926744013,-1.03423607,-0.32357409,0.46765369
-0.113275303,0.041583137,0.963136008,-1.12773563,-0.37740717,0.52715341
-0.115115843,0.041639482,0.979603205,-1.10222504,-0.27819932,0.5810091
-0.117869506,0.041766491,0.985774723,-1.0569076,-0.38582824,0.5810091
-0.120473982,0.041766491,0.994064834,-1.03990936,-0.33766656,0.64900206
-0.123133989,0.04281448,0.99784606,-0.92939896,-0.21582176,0.65750286
-0.126974794,0.043424413,0.998379636,-0.99184442,-0.25272135,0.68588716
-0.128412274,0.04281448,1.0002101,-1.13943914,-0.51385047,0.60357472
-0.128696315,0.04281448,1.002785854,-1.06289036,-0.58756411,0.68579378
-0.129864876,0.04281448,1.002785854,-0.95530666,-1.15662526,0.52724938
-0.130239364,0.041304688,1.003002712,-1.02632166,-1.26456806,0.57838018
-0.130279863,0.041041769,1.003384582,-0.9468319,-1.45761462,0.66070886
-0.130279863,0.040208469,1.003384582,-0.7480291,-1.51725546,0.62378834
-0.130279863,0.040208469,1.003002712,-0.8048131,-1.56552186,0.68625074
-0.130279863,0.040045861,1.003002712,-0.79913862,-1.43500882,0.73448382
-0.130239364,0.039936281,1.002785854,-0.67732091,-1.43500882,0.78831025
-0.130239364,0.039428024,1.003002712,-0.53291084,-1.68985012,0.76565769
-0.129115118,0.039428024,1.002410186,-0.21018368,-2.01823916,0.67506761
-0.129109602,0.039428024,1.002563672,0.09358825,-2.11192583,0.67506761
-0.128251706,0.039428024,1.002563672,1.07466779,-2.67902383,0.79699368
-0.126922224,0.040662706,1.002563672,2.30077883,-3.46521077,0.84808164
-0.124020961,0.042495357,1.003753312,3.76148878,-3.25815868,1.43803828
-0.123798177,0.042684261,1.004400977,6.12351026,-3.45664788,1.80098996
-0.119390134,0.051946814,1.010760498,7.97485122,-3.30331596,1.66469492
-0.109112481,0.056960053,1.010760498,10.3108215,-2.94000588,1.64198804
-0.091526688,0.056960053,1.010760498,12.2533719,-2.63940684,1.81781012
-0.071117613,0.056960053,1.010760498,14.83943671,-2.61669716,1.83484238
-0.055651368,0.056960053,1.010760498,17.95810198,-2.81533826,2.1583436
-0.027925221,0.056960053,1.007397099,20.80546853,-2.96295846,2.46777825
0.014476868,0.0533688,1.000459436,23.60665349,-2.91754918,2.50183521
0.065782121,0.04285488,0.999947661,26.77340393,-2.80688317,2.62385158
0.110717272,0.031373728,0.999035059,29.68260841,-2.14208449,2.73181034
0.149487963,0.029950637,0.996614997,32.4017995,-2.25573929,2.67214157
0.198907178,0.028803982,0.989442598,35.4155578,-2.23310073,2.52499093
0.257643507,0.018958234,0.969913559,37.78175548,-2.18215389,2.52499093
0.306354104,0.015818389,0.964149735,40.44251008,-2.20479861,2.34383317
0.347097262,0.01391254,0.941269041,43.02952297,-2.2132992,2.20215667
0.390575157,0.007664324,0.919049425,44.81929641,-2.34356752,2.49667635
0.436084294,0.007428994,0.900154455,47.05717681,-1.90732248,2.72612991
0.482519377,0.006811586,0.877886273,49.75399408,-2.49999841,2.53896909
0.521409226,0.006285638,0.854082164,51.48159338,-2.78321141,2.77403588
0.555088736,0.005355751,0.829356498,53.64063656,-2.97304854,3.02904098
0.587789241,0.00517131,0.815301899,55.72089789,-2.68073351,3.06025909
0.615022345,0.004457397,0.788422739,58.01480181,-2.67505553,3.16814071
0.649808607,0.004064183,0.765463244,60.54427953,-3.06682649,3.28453643
0.692445164,0.001849991,0.742708346,62.14062099,-3.22277459,3.55673675
0.706022298,0.001456651,0.718612208,64.35639819,-3.33640419,3.67036635
0.749890179,0.001456651,0.686098525,66.31509297,-3.54899769,3.69304299
0.761375707,0.001456651,0.663369515,67.52161017,-3.93984129,3.87430379
0.782223824,0.001456651,0.635580109,69.38215081,-4.27451171,3.91117426
0.801174295,0.001769949,0.609927265,70.93557737,-4.74224051,4.06991858
0.817814977,0.001769949,0.575601159,72.41917333,-5.06500757,4.27377146
0.848588186,0.00662517,0.547099896,73.855915,-5.5269186,4.30494337
0.865978512,0.007879102,0.521995937,75.33774136,-5.76491748,4.21427713
0.888612707,0.015524477,0.493269562,76.75048521,-6.14712273,4.31336738
0.897898824,0.017610686,0.460808137,77.61984167,-6.21791723,4.60220894
0.904836895,0.020608967,0.442795282,78.79231451,-6.45014615,4.7183234
0.924868642,0.021985612,0.417640369,80.27225759,-7.01150387,4.65311518
0.931935737,0.02476058,0.390640222,81.54547359,-7.40654187,4.57069718
0.933511585,0.02476058,0.373561733,81.91971207,-7.43205813,4.465797
0.949335751,0.025188413,0.34496584,82.79325859,-7.73269427,4.25591894
0.95031639,0.027020248,0.327613104,83.54492314,-7.79509661,4.13962367
