xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.000244,0.000244,0.000244,-0.00629622,-0.09969015,0.02413551
0.000244,0.000244,0.000244,0.08821974,-0.32309151,-0.02169041
0.000244,0.000244,0.000244,0.00041937,-0.12483261,-0.08683262
0.000244,0.000244,0.000244,-0.05912004,-0.19571286,-0.06131573
-0.015128,0.014152,0.4124576,0.10786825,-0.11363387,-0.06980666
-0.0257664,0.01952,0.65534496,0.06246233,-0.31512264,-0.06413092
-0.03029504,0.0206912,0.805078976,0.04262762,-0.62397741,-0.03579562
-0.030669824,0.021286045,0.898530586,-0.04817302,-0.51615165,0.01527974
-0.033899057,0.021286045,0.938887951,-0.13880342,-0.46233985,0.08042034
-0.035040596,0.021659392,0.974326371,-0.34845356,-0.49633717,0.24474072
-0.035467434,0.021659392,0.998712622,-0.31155761,-0.30618112,0.14256732
-0.037616358,0.021659392,1.003779573,-0.49846433,-0.32883648,0.15106308
-0.038605094,0.021286045,1.012705348,-0.73053827,-0.38260971,0.32087328
-0.03953166,0.020774827,1.016579744,-0.76737143,-0.23527707,0.28687344
-0.040440449,0.019556803,1.017526179,-0.70506611,-0.35139153,0.33501846
-0.041329633,0.018290381,1.021771504,-0.74195114,-0.51595551,0.34920501
-0.042343308,0.017785282,1.023412965,-0.86389527,-0.45072958,0.41443094
-0.043393869,0.017141338,1.023865902,-0.82424839,-0.6376363,0.41159902
-0.044139415,0.015854229,1.023412965,-0.84693623,-0.76809138,0.37756726
-0.045458722,0.015854229,1.023865902,-0.98308007,-1.091433,0.45982083
-0.046226346,0.015854229,1.023865902,-0.90651239,-1.25307588,0.45131331
-0.04666018,0.015721282,1.023865902,-1.04266967,-1.0318203,0.42862043
-0.04666018,0.015854229,1.023865902,-0.98314055,-1.59026014,0.32940523
-0.047410032,0.015854229,1.022916065,-1.0484663,-1.80611914,0.38052973
-0.047410032,0.016362824,1.022916065,-1.0342794,-2.1806533,0.30392047
-0.047410032,0.016434702,1.022303239,-1.03144461,-3.08495131,0.323764
-0.046697219,0.017134136,1.022303239,-0.42931602,-4.46613727,-0.1042895
-0.046344759,0.018937621,1.022636855,0.01697689,-6.75445442,-0.26631941
-0.046344759,0.021236894,1.022636855,0.06233689,-8.75029442,-0.33719441
-0.045019387,0.025798882,1.022303239,0.22672629,-10.78815612,-0.33719441
-0.042267932,0.040074529,1.022303239,0.46199062,-13.39873983,-0.34002892
-0.040966993,0.045711917,1.021285486,0.12473391,-16.22999574,-0.1756517
-0.040299655,0.07651995,1.016177143,0.41382537,-19.03304921,-0.65180234
-0.033752487,0.09598077,1.013812308,0.77149401,-21.76382089,-0.98676186
-0.031768292,0.125810862,1.001420185,0.93020305,-24.75661993,-1.07745274
-0.031021796,0.170646517,1.000914511,1.04355545,-28.07217763,-1.22764467
-0.030715478,0.21101671,0.999635106,1.55946175,-31.40289138,-1.63583427
-0.027844975,0.245877226,0.991059464,1.92817555,-35.11839198,-1.51954761
-0.023636585,0.282995136,0.971469278,2.41288873,-38.91106002,-1.30411953
-0.015743551,0.353089881,0.963131167,2.83643017,-41.93554386,-1.42066449
-0.010031731,0.371039529,0.9202595,2.81655626,-45.68603459,-1.5824949
-0.008068638,0.424070117,0.8918037,3.35556536,-48.53710904,-1.60519002
0.004040417,0.50976367,0.88663742,3.50003255,-51.1828415,-1.79498025
