xG,yG,zG,gyroXangle,gyroYangle,gyroZangle
0.000244,0.000244,0.000244,0.04713345,0.07017647,0.04084899
0.000244,0.000244,0.000244,0.21904785,0.09023315,-0.02218629
0.000244,0.000244,0.000244,0.35233562,0.01649949,0.11393739
0.000244,0.000244,0.000244,0.39197172,0.04197984,0.13092429
-0.01354688,0.027328,0.4082608,0.55610128,-0.02876566,0.13092429
-0.0139568,0.0427488,0.65595008,0.4821747,-0.01170568,0.00297444
-0.015209466,0.05239168,0.804173248,0.42825916,-0.3153353,-0.08783068
-0.016059182,0.053980608,0.890569549,0.38290588,-0.44856056,-0.11901106
-0.016059182,0.056300365,0.941138529,0.44818977,-0.64441223,0.000203
-0.016059182,0.057722934,0.973236718,0.3998603,-0.81782974,0.01441755
-0.016059182,0.057722934,0.993178831,0.52757705,-0.82350604,0.13361985
-0.015209466,0.057722934,1.003972898,0.55877745,-1.03623604,0.19318425
-0.014126653,0.059546619,1.009668539,0.53606833,-1.16397484,-0.09635703
-0.013631197,0.059546619,1.014296994,0.55026923,-1.22929898,0.02861089
-0.013459088,0.057722934,1.016404323,0.44531207,-1.6094141,0.18462829
-0.013283995,0.05763353,1.016554287,0.39150559,-1.49896922,0.15347717
-0.013283995,0.056895882,1.016554287,0.24652075,-1.32839882,0.23307669
-0.013283995,0.056683129,1.016554287,0.06762469,-1.67199284,0.10529379
-0.013283995,0.055384278,1.016554287,-0.12249384,-1.97561497,0.14218246
-0.013631197,0.056511548,1.016554287,-0.46265184,-2.11167817,0.02029251
-0.013640229,0.055384278,1.016554287,-1.36674888,-2.14568809,0.05713659
-0.015016137,0.055183729,1.016554287,-4.11910296,-1.69262569,0.07129479
-0.015451282,0.055183729,1.016554287,-8.08760358,-1.26490007,-0.37059393
-0.022251569,0.055092967,1.016554287,-13.12679046,-0.36828799,-1.08277631
-0.022525342,0.05482058,1.014722926,-18.27903882,1.76572907,-1.63824423
-0.042502405,0.047359837,1.014722926,-23.05704576,1.35099125,-2.11263612
-0.084842243,0.043251102,1.014722926,-28.27460496,-0.51768892,-1.93399143
-0.121567746,0.030245061,1.013483356,-31.70207544,-4.98928948,-2.1240912
